=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.11.10 12:30:16 =~=~=~=~=~=~=~=~=~=~=~=
Qid, Time, Sent, Recv, Over, Wait,    P_blk,    Arrv,    Serv,   Epblk,   Earrv,   Eserv
Q0      0,    1,    1,    0,    1,   0.0000,  0.0000,  7.8833, -1.0000, -1.0000, -0.2117,
Q0      1,   10,   10,    0,    0,   0.0000, 10.0000, 11.4528, -1.0000,  0.1111,  0.1453,
Q0      2,   20,   17,    0,    3,   0.0000, 10.0000, 12.2937, -1.0000,  0.1111,  0.2294,
Q0      3,   29,   26,    0,    3,   0.0000,  9.6667, 11.2206, -1.0000,  0.0741,  0.1221,
Q0      4,   38,   36,    0,    2,   0.0000,  9.5000, 12.9948, -1.0000,  0.0556,  0.2995,
Q0      5,   45,   45,    0,    0,   0.0000,  9.0000, 12.1323, -1.0000,  0.0000,  0.2132,
Q0      6,   59,   56,    0,    3,   0.0000,  9.8333, 12.6053, -1.0000,  0.0926,  0.2605,
Q0      7,   67,   67,    0,    0,   0.0000,  9.5714, 12.0091, -1.0000,  0.0635,  0.2009,
Q0      8,   79,   77,    0,    1,   0.0000,  9.8750, 12.0158, -1.0000,  0.0972,  0.2016,
Q0      9,   92,   87,    0,    5,   0.0000, 10.2222, 11.9336, -1.0000,  0.1358,  0.1934,
Q0     10,   99,   95,    0,    4,   0.0000,  9.9000, 11.4704, -1.0000,  0.1000,  0.1470,
Q0     11,  109,  105,    0,    4,   0.0000,  9.9091, 11.3119, -1.0000,  0.1010,  0.1312,
Q0     12,  121,  119,    0,    2,   0.0000, 10.0833, 11.3028, -1.0000,  0.1204,  0.1303,
Q0     13,  133,  126,    0,    7,   0.0000, 10.2308, 11.1168, -1.0000,  0.1368,  0.1117,
Q0     14,  140,  140,    0,    0,   0.0000, 10.0000, 11.4027, -1.0000,  0.1111,  0.1403,
Q0     15,  149,  148,    0,    1,   0.0000,  9.9333, 11.2192, -1.0000,  0.1037,  0.1219,
Q0     16,  159,  159,    0,    0,   0.0000,  9.9375, 11.6647, -1.0000,  0.1042,  0.1665,
